action,id,name,slug,image_filename,image_size,reason,new_slug
DEACTIVATE,4028,MN-Proud to be a Veteran,mn-proud-to-be-a-veteran,mn-proud-to-be-a-veteran.jpg,23971,new image larger (139426 vs 23971 bytes),
KEEP,12225,MN - Remembering Victims Of Impaired Drivers,mn-remembering-victims-of-impaired-drivers-v1,mn-remembering-victims-of-impaired-drivers.png,130157,new image larger (130157 vs 25387 bytes),mn-remembering-victims-of-impaired-drivers
DEACTIVATE,4031,MN-Remembering Victims of Impaired Drivers,mn-remembering-victims-of-impaired-drivers,mn-remembering-victims-of-impaired-drivers.jpg,25387,new image larger (130157 vs 25387 bytes),
KEEP,12166,MN - Retired Law Enforcement,mn-retired-law-enforcement-v1,mn-retired-law-enforcement.png,143795,new image larger (143795 vs 29027 bytes),mn-retired-law-enforcement
DEACTIVATE,4032,MN-Retired Law Enforcement,mn-retired-law-enforcement,mn-retired-law-enforcement.jpg,29027,new image larger (143795 vs 29027 bytes),
KEEP,12165,MN - Retired Law Enforcement Motorcycle,mn-retired-law-enforcement-motorcycle-v1,mn-retired-law-enforcement-motorcycle.png,318928,new image larger (318928 vs 23756 bytes),mn-retired-law-enforcement-motorcycle
DEACTIVATE,4033,MN-Retired Law Enforcement-Motorcycle,mn-retired-law-enforcement-motorcycle,mn-retired-law-enforcement-motorcycle.jpg,23756,new image larger (318928 vs 23756 bytes),
KEEP,12229,MN - Start Seeing Motorcycles,mn-start-seeing-motorcycles-v1,mn-start-seeing-motorcycles.png,136777,new image larger (136777 vs 29630 bytes),mn-start-seeing-motorcycles
DEACTIVATE,4034,MN-Start Seeing-Motorcycles,mn-start-seeing-motorcycles,mn-start-seeing-motorcycles.jpg,29630,new image larger (136777 vs 29630 bytes),
KEEP,12231,MN - Support Our Troops,mn-support-our-troops-v1,mn-support-our-troops.png,133320,new image larger (133320 vs 23760 bytes),mn-support-our-troops
DEACTIVATE,4036,MN-Support our Troops,mn-support-our-troops,mn-support-our-troops.jpg,23760,new image larger (133320 vs 23760 bytes),
